id,created_at,text
992935374564528128,2018-05-06 01:13:35,"The lyric “dark side of the moon” is sung in what Pink Floyd song?
1) Brain Damage ✓
2) Eclipse
3) Any Colour You Like"
992935045408198656,2018-05-06 01:12:17,"Which of these Triple Crown-winning horses ran the Kentucky Derby the fastest?
1) War Admiral
2) American Pharoah
3) Seattle Slew ✓"
992934845939617793,2018-05-06 01:11:29,"Which of these disputed territories is NOT claimed by the nation of Georgia?
1) Transnistria ✓
2) Abkhazia
3) South Ossetia"
992934624765595648,2018-05-06 01:10:37,"Which of these words means the opposite of “deasil”?
1) Catty-corner
2) Widdershins ✓
3) Clockwise"
992934459073875968,2018-05-06 01:09:57,"The first moons discovered orbiting a planet other than Earth are known as what?
1) Newtonian
2) Galilean ✓
3) Copernican"
992934289749741568,2018-05-06 01:09:17,"The 2017 fantasy novel “The Dark Prophecy” is set in the same universe as what other novel?
1) The Lightning Thief… https://t.co/jbid9zS97g"
992934114457214977,2018-05-06 01:08:35,"For what object did “Time” magazine bend the rules for its “Person of the Year” award?
1) Mirror
2) Television
3) Computer ✓"
992933929828212736,2018-05-06 01:07:51,"When used as a slang term for money, how much is a “rack”?
1) $20
2) $100
3) $1000 ✓"
992933795052613632,2018-05-06 01:07:19,"The speed of sound is named for what Austrian physicist?
1) Hans Warp
2) Klaus Züm
3) Ernst Mach ✓"
992933659324899328,2018-05-06 01:06:46,"In what sport would you most likely use the term “bullseye”?
1) Golf
2) Shuffleboard
3) Darts ✓"
992933527586070533,2018-05-06 01:06:15,"Which of these statements appears in the famous “Sermon on the Mount” in the Bible?
1) My car has a leak
2) Knee bo… https://t.co/IhKi9gDKUj"
992933263663616000,2018-05-06 01:05:12,"In which of these directions can most standard elevators travel?
1) North by northwest
2) Up ✓
3) Left"
992576660854792192,2018-05-05 01:28:11,"The company whose stock symbol is simply “V” mainly provides which of these?
1) Phone services
2) Cable TV
3) Financial services ✓"
992576403114790914,2018-05-05 01:27:10,"What colors dominate the flag of the world’s smallest nation?
1) Yellow / white ✓
2) Red / white
3) Blue / white"
992576222583578625,2018-05-05 01:26:27,"Which of these people served as vice president under the person on the US $50 bill?
1) Aaron Burr
2) Andrew Johnson
3) Henry Wilson ✓"
992576040915603456,2018-05-05 01:25:43,"Which of these MLS soccer teams does NOT play its home games in the US?
1) Sounders
2) Timber
3) Impact ✓"
